,eukulele_taxonomy,mmseqs_taxonomy,groups,total_length,total_num_contigs,total_length_5kb,total_length_10kb,total_length_50kb,GC_percent,N50,L50,proportion_coding_sequence_mean,proportion_coding_sequence_std,proportion_repeat_mean,proportion_repeat_std,num_predicted_proteins,num_proteins_annotated_pfam,proportion_proteins_annoated_pfam,num_unique_pfam,num_proteins_annotated_kegg,proportion_proteins_annoated_kegg,num_unique_kegg,busco_eukaryota_odb10_completeness,busco_eukaryota_odb10_contamination,eukcc_completeness,eukcc_contamination,eukcc_lineage,ocean_region,depth,size_fraction
TOPAZ_MSD1_E001,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,Cryptophyta,6577351,1975,606349,10978,0,58.79,3221,801,0.8367154545454546,0.03506239776333902,0.001462121212121212,0.0013640964543692546,3859,1673,43.35,532,622,16.12,1131,19.61,0.78,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E002,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,Chlorophyta,3643837,1048,519915,48021,0,69.07,3395,411,0.7687610810810812,0.07676396665890607,0.0,0.0,2265,1338,59.07,576,631,27.86,1111,18.04,0.0,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E003,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,50703571,7403,37578314,20923446,171812,62.0,8377,1827,0.8672717125984252,0.048202492310879454,0.03202765748031496,0.028904040732978906,25021,12318,49.23,2517,4287,17.13,3483,78.82,0.78,77.99,27.25,Eukaryota_Fungi_Microsporidia_Pleistophoridae,MS,DCM,0.8-5
TOPAZ_MSD1_E004,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus lucimarinus,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',Chlorophyta,11918097,626,11600507,10452421,2044392,60.95,27715,132,0.8365290833333333,0.07209464065837155,0.04039249999999999,0.020654886195522842,7105,4916,69.19,2468,2986,42.03,3008,80.78,0.0,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E005,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dictyochophyceae;-;Pedinellales;-;Pteridomonas danica,Ochrophyta,9905243,1875,5718309,1858099,0,52.86,5576,557,0.8100169999999999,0.09403745869067284,0.0292793,0.009897134257450486,3567,1595,44.72,423,522,14.63,1000,12.94,0.0,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E006,Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;Pseudoscourfieldiales;Pycnococcaceae;Pycnococcus;Pycnococcus provasolii,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;Pycnococcus provasolii,Chlorophyta,4971075,1367,852444,10534,0,57.88,3584,531,0.8611353999999999,0.039026128898982534,0.006025,0.003369914687347441,3616,1692,46.79,630,692,19.14,1314,23.92,0.0,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E007,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dictyochophyceae;-;Pedinellales;-;Pseudopedinella elastica,Ochrophyta,4113303,867,2069657,411966,0,61.1,5018,278,0.8354859523809524,0.1166030141132014,0.02146952380952381,0.0063290524200031225,1925,791,41.09,200,237,12.31,638,6.67,0.0,5.13,0.0,Eukaryota,MS,DCM,0.8-5
TOPAZ_MSD1_E008,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;Paraphysomonas bandaiensis,Ochrophyta,15439349,3687,5430347,893143,0,40.23,4184,1280,0.825008322580645,0.06465046392887311,0.013418129032258063,0.005768497851886716,6664,3326,49.91,1196,1460,21.91,1995,37.25,0.39,33.72,2.33,Eukaryota_Fungi_Basidiomycota,MS,DCM,0.8-5
TOPAZ_MSD1_E009,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,Chlorophyta,12018546,1997,8258341,3225277,0,48.44,6616,575,0.801796694214876,0.08002091046336472,0.008010909090909091,0.0049667015178025496,6581,4198,63.79,2021,2407,36.57,2639,63.53,0.0,75.44,3.51,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,MS,DCM,0.8-5
TOPAZ_MSD1_E010,Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;Pycnococcus provasolii,Chlorophyta,14142731,3202,5948940,1147222,0,66.17,4536,1064,0.8919955633802816,0.050540784528328615,0.00042077464788732393,0.0007035844583712006,7713,4213,54.62,1491,1782,23.1,2456,41.57,0.39,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E011,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas commoda,Chlorophyta,14631117,2302,10093007,5321075,0,64.22,7260,551,0.8086414965986395,0.07291595163750089,0.009023877551020408,0.006312695495616781,8352,4998,59.84,2124,2593,31.05,2802,63.92,0.0,81.62,0.43,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,MS,DCM,0.8-5
TOPAZ_MSD1_E012,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;Chrysochromulina rotalis,Haptophyta,33981689,7561,14906778,3173737,0,62.77,4631,2455,0.8766944117647059,0.026320231593292786,0.020098617647058826,0.014933450711336744,20804,9248,44.45,1867,2865,13.77,2990,54.9,0.39,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E013,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,14737941,3825,3712977,287316,0,55.03,3837,1415,0.9115650675675676,0.05315686498718398,0.004053108108108108,0.002536464567429664,6554,3218,49.1,914,1141,17.41,1777,28.24,0.0,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E014,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,Chlorophyta,15026060,4088,3070541,110599,0,68.3,3621,1551,0.7734190066225166,0.0657485525311421,0.0,0.0,9129,4748,52.01,1588,2200,24.1,2349,49.02,5.1,54.27,10.68,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,MS,DCM,0.8-5
TOPAZ_MSD1_E015,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',Chlorophyta,2622779,752,355779,0,0,60.11,3373,300,0.7661222222222223,0.13452820724000553,0.0032696296296296297,0.005037807784168943,1796,1156,64.37,600,634,35.3,1054,25.88,0.0,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E016,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,Chlorophyta,11756879,1963,8030095,3169533,0,48.15,6770,558,0.8208141525423729,0.05730737360972433,0.01338593220338983,0.006049177873443314,6161,4188,67.98,2018,2408,39.08,2652,67.45,0.39,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E017,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,17412025,5065,2392035,181734,0,65.07,3301,1989,0.8460086857142858,0.06945149866109912,0.032049542857142864,0.01294712309211776,6951,2683,38.6,339,503,7.24,1188,9.41,0.0,,,,MS,DCM,0.8-5
TOPAZ_MSD1_E018,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,18353312,4332,6841321,901646,0,46.23,4322,1510,0.8540527717391305,0.04354116316315024,0.013865978260869565,0.006608040237629921,8226,4332,52.66,1410,1770,21.52,2275,45.49,0.39,54.39,1.75,Eukaryota,MS,DCM,0.8-5
TOPAZ_MSD4_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,3149250,841,802234,197880,0,45.95,3558,297,0.8762446875000001,0.08780073693399358,0.0,0.0,1714,448,26.14,111,141,8.23,275,1.96,0.0,1.16,0.0,Eukaryota_Fungi_Basidiomycota,MS,DCM,180-2000
TOPAZ_MSD4_E002,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;-;-;-;-;-,Metazoa,2709249,815,340605,47027,0,41.9,3147,325,0.3432464285714286,0.1579432702454154,0.00842107142857143,0.005176480698647431,832,168,20.19,8,25,3.0,62,0.39,0.0,,,,MS,DCM,180-2000
TOPAZ_MSD4_E003,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,11438470,3359,1551275,133021,0,47.62,3242,1323,0.7319514782608697,0.07322128830670084,0.005726173913043479,0.003597134991026511,5677,2166,38.15,771,911,16.05,1354,18.43,0.0,21.49,5.16,Eukaryota_Kinetoplastida_Trypanosomatidae,MS,DCM,180-2000
TOPAZ_MSD4_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,38396515,8507,17027881,4717362,0,43.23,4608,2653,0.5063453125,0.09087345845440706,0.013077317708333331,0.007206677520066239,13494,5968,44.23,2089,2680,19.86,2759,46.27,0.78,46.63,7.24,Eukaryota_Fungi_Ascomycota,MS,DCM,180-2000
TOPAZ_MSD4_E005,Eukaryota;Metazoa;Arthropoda;Branchiopoda;Diplostraca;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,Metazoa,81342419,6785,72364189,58866601,14778715,45.75,19954,1055,0.5536635995085994,0.11216146613781217,0.04745512285012285,0.03308123876019066,16555,7200,43.49,3262,3986,24.08,3640,75.29,0.0,73.54,4.23,Eukaryota_Metazoa,MS,DCM,180-2000
TOPAZ_MSD3_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,Metazoa,42610832,10646,13784698,2396618,53058,33.57,3898,3662,0.4758854566744731,0.1127783523727028,0.0008582903981264638,0.002037286419024005,13214,6300,47.68,2498,3060,23.16,3186,61.18,0.39,58.28,20.96,Eukaryota_Fungi_Microsporidia_Pleistophoridae,MS,DCM,20-180
TOPAZ_MSD3_E002,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,Metazoa,42982022,10898,12920721,2053582,0,33.23,3874,3829,0.5122690232558139,0.10667314077483094,0.0028519767441860465,0.00928130915231545,14293,6967,48.74,2481,3135,21.93,3219,65.88,0.78,59.77,12.32,Eukaryota_Fungi_Ascomycota_Eurotiomycetes,MS,DCM,20-180
TOPAZ_MSD3_E003,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,8304691,2475,875004,21336,0,45.21,3264,1003,0.5695669047619047,0.08089947802786743,0.0018467857142857144,0.0017053830464250589,3852,1810,46.99,631,710,18.43,1234,14.51,0.0,13.96,0.22,Eukaryota_Metazoa,MS,DCM,20-180
TOPAZ_MSD3_E004,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Coscinodiscophyceae;Chaetocerotophycidae;Chaetocerotales;Chaetocerotaceae;Chaetoceros affinis,Ochrophyta,13841789,3607,3648441,258680,0,39.82,3784,1322,0.8197558992805755,0.05273869059866578,0.0033723021582733807,0.0072328083758817765,6807,3301,48.49,1049,1295,19.02,1946,31.76,0.0,33.33,0.0,Eukaryota_Bacillariophyta,MS,DCM,20-180
TOPAZ_MSD3_E005,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,Metazoa,27555318,7153,7461242,959062,0,39.3,3780,2576,0.5364930434782609,0.1059094632673484,0.019934746376811592,0.007744948770483534,12098,5931,49.02,2088,2658,21.97,2867,50.59,0.39,42.06,4.76,Eukaryota,MS,DCM,20-180
TOPAZ_MSD3_E006,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,Metazoa,3294687,930,562481,49576,0,40.67,3461,356,0.8381124242424242,0.030052890551271187,0.003608181818181818,0.003775094985395776,2133,992,46.51,426,474,22.22,814,11.37,0.0,10.32,0.0,Eukaryota,MS,DCM,20-180
TOPAZ_MSD3_E007,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,30619613,8307,6821877,763621,0,45.22,3568,3074,0.6058325732899023,0.10562213462785916,0.01992703583061889,0.0072709926564701296,12820,4910,38.3,1990,2428,18.94,2727,51.76,0.78,,,,MS,DCM,20-180
TOPAZ_MSD3_E008,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,Metazoa,4120103,1290,315309,106953,0,33.94,3027,534,0.5812528571428571,0.106184159057243,0.011560952380952382,0.005615106244817597,2242,705,31.45,247,268,11.95,572,7.84,0.0,4.55,0.0,Eukaryota_Metazoa,MS,DCM,20-180
TOPAZ_MSD2_E001,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,20852726,5540,5173465,514433,0,47.1,3668,2021,0.70939004784689,0.06499356554458809,0.006362057416267943,0.0031633320928599524,9686,4203,43.39,1786,2147,22.17,2540,54.12,0.78,,,,MS,DCM,5-20
TOPAZ_MSD2_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,Metazoa,9433471,2801,1088630,40963,0,40.7,3243,1121,0.4649272631578947,0.08494741072157036,0.020824421052631582,0.005942465147835619,4202,709,16.87,131,156,3.71,430,2.35,0.0,,,,MS,DCM,5-20
TOPAZ_MSD2_E003,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,6404750,1934,670046,64334,0,48.19,3152,776,0.7391104615384615,0.10161126116317816,0.0006650769230769232,0.0007731854650170355,3063,1210,39.5,458,519,16.94,963,10.59,0.0,11.41,0.58,Eukaryota_Fungi_Ascomycota,MS,DCM,5-20
TOPAZ_MSD2_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,Metazoa,15207517,4338,2534010,216205,0,41.31,3360,1677,0.4265528758169936,0.07223120410620078,0.005677058823529412,0.0036926168842781578,6349,1824,28.73,403,507,7.99,958,7.84,0.0,,,,MS,DCM,5-20
TOPAZ_MSS1_E001,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus lucimarinus,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',Chlorophyta,11932911,730,11415442,10029006,1973740,61.0,24504,147,0.8359308333333334,0.06591522552470121,0.03365666666666667,0.01675659498691651,7175,4919,68.56,2450,2979,41.52,2993,79.61,0.0,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E002,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;-;-,Chlorophyta,10821051,2042,6401631,2084157,0,61.87,5738,598,0.8123083486238533,0.07072547148332778,0.008935137614678897,0.010581492638042709,6780,4182,61.68,1992,2313,34.12,2619,66.27,0.0,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E003,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,31526372,6599,15838821,3742211,0,54.82,5012,2101,0.8856934177215192,0.04985433970130743,0.009856867088607595,0.0044003183854951855,13340,6518,48.86,1736,2341,17.55,2741,56.86,0.39,68.42,3.51,Eukaryota,MS,SRF,0.8-5
TOPAZ_MSS1_E004,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dictyochophyceae;-;Pedinellales;-;Pteridomonas danica,Ochrophyta,43168781,8876,22257359,5496422,0,49.82,5085,2803,0.7831509027777778,0.051146154043980166,0.045416111111111115,0.014211111089392754,17696,8402,47.48,1925,2855,16.13,2995,56.08,1.57,58.97,0.0,Eukaryota,MS,SRF,0.8-5
TOPAZ_MSS1_E005,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;Paraphysomonas bandaiensis,Ochrophyta,5691766,1110,3219991,977112,0,39.62,5504,342,0.7792670175438596,0.04702386691379186,0.02839578947368421,0.008598424569564224,2792,1312,46.99,467,529,18.95,1052,15.69,0.0,15.69,0.0,Eukaryota_Chrysophyceae_Hydrurales_Hydruraceae_Hydrurus_Hydrurus.foetidus,MS,SRF,0.8-5
TOPAZ_MSS1_E006,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Chromulinaceae;-,Ochrophyta,12921619,2765,6204422,1492292,0,52.39,4864,881,0.8627547692307692,0.06808132194114945,0.0021354615384615388,0.0021251545143963465,7733,4145,53.6,1614,1924,24.88,2360,54.12,1.18,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E007,Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;Pycnococcus provasolii,Chlorophyta,17495687,3605,9141349,2197062,0,67.24,5180,1128,0.8873545142857144,0.027817179125108414,0.0018967428571428566,0.002660832998924071,9428,5230,55.47,1883,2290,24.29,2765,53.73,0.78,64.91,0.0,Eukaryota,MS,SRF,0.8-5
TOPAZ_MSS1_E008,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;Chrysochromulina rotalis,Haptophyta,7959576,2396,826239,10465,0,60.57,3219,972,0.8045761249999999,0.05227051521875764,0.005140250000000001,0.008437281252719976,4430,1896,42.8,338,425,9.59,1014,8.63,0.0,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E009,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,Cryptophyta,59066454,9357,41076817,21175105,57897,58.43,7434,2358,0.8261126226734349,0.04984733146862432,0.019665313028764803,0.010620435487507759,27130,11875,43.77,2613,4195,15.46,3489,74.51,2.75,85.45,30.91,Eukaryota_Fungi_Microsporidia,MS,SRF,0.8-5
TOPAZ_MSS1_E010,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas commoda,Chlorophyta,13259830,2206,8652400,4595612,215956,64.18,6735,521,0.8022557894736841,0.06384497249665425,0.010458045112781957,0.008506116283212259,7548,4498,59.59,1913,2318,30.71,2646,56.86,0.0,72.65,2.14,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales_Mamiellaceae_Micromonas_Micromonas.commoda,MS,SRF,0.8-5
TOPAZ_MSS1_E011,Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;-;-;-;-,Eukaryota;-;Sar;-;Dictyochophyceae;-;Pedinellales;-;Pseudopedinella elastica,Ochrophyta,38896993,7312,22996787,7406002,0,61.97,5696,2177,0.7963390231362468,0.035227932676939494,0.0,0.0,15030,7191,47.84,1565,2399,15.96,2570,46.27,0.0,47.83,8.7,Eukaryota,MS,SRF,0.8-5
TOPAZ_MSS1_E012,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Chromulinaceae;-,Ochrophyta,15150242,3127,7906152,1784231,0,42.6,5185,986,0.8551827631578947,0.04470613080818606,0.008058552631578947,0.005446039532480018,8668,4571,52.73,1605,1926,22.22,2469,55.69,0.0,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E013,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,Chlorophyta,10652802,2185,5561192,1150829,0,48.41,5149,707,0.7997371028037383,0.07238134803899897,0.01094626168224299,0.00422149429258924,5729,3638,63.5,1736,2063,36.01,2400,54.12,0.39,70.18,3.51,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,MS,SRF,0.8-5
TOPAZ_MSS1_E014,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,Chlorophyta,18215179,2584,14067984,7052868,52587,58.97,8295,708,0.7855590710382515,0.062491589787898635,0.007298907103825136,0.004134599564610375,8291,5186,62.55,2423,2936,35.41,3052,76.86,0.78,96.49,0.0,Eukaryota,MS,SRF,0.8-5
TOPAZ_MSS1_E015,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina rotalis,Haptophyta,60150217,14299,22550854,3669116,0,63.65,4225,4846,0.7535149169435217,0.04663158182674268,0.03144878737541528,0.01734257044172574,30156,12540,41.58,1642,3072,10.19,2904,47.06,2.35,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E016,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,SAR,18959731,3863,9930807,2404519,0,50.84,5146,1225,0.9242482631578948,0.036196862333258285,0.0037730000000000007,0.002392714369211582,8716,4876,55.94,1505,1883,21.6,2388,49.8,1.18,47.83,0.0,Eukaryota,MS,SRF,0.8-5
TOPAZ_MSS1_E017,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;Chrysochromulina rotalis,Haptophyta,12731188,3769,1393564,70741,0,62.68,3255,1511,0.8025038281250001,0.059303390595536014,0.005920390625,0.0036248556872877174,6854,2916,42.54,549,741,10.81,1400,15.29,0.0,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E018,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;Paraphysomonas bandaiensis,Ochrophyta,44169809,9165,22234011,5905243,0,39.41,5023,2887,0.7574636877828054,0.062287032933784674,0.04454649321266969,0.01362670532019527,18735,9742,52.0,2256,4378,23.37,3109,70.98,27.06,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E019,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-,Eukaryota;-;-;-;Cryptophyceae;-;Pyrenomonadales;Geminigeraceae;Geminigera cryophila,Cryptophyta,11883407,3427,1721983,11442,0,61.88,3363,1352,0.7841864705882353,0.04536194504352175,0.015219495798319329,0.0065314433846552725,5803,1886,32.5,433,515,8.87,1116,18.43,0.0,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E020,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Mamiellaceae;Micromonas pusilla,Chlorophyta,10653135,3096,1398637,93771,0,68.67,3321,1229,0.7712406542056075,0.059120815416060235,0.0007260747663551401,0.0017494494498520275,6469,3213,49.67,1107,1426,22.04,1850,34.12,0.39,,,,MS,SRF,0.8-5
TOPAZ_MSS1_E021,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Chromulinaceae;-,Ochrophyta,22035103,1472,20763078,17893160,4015078,52.07,23875,272,0.8823447058823529,0.04652419425586905,0.0052280995475113105,0.008966567315308269,11459,6848,59.76,2480,3344,29.18,3161,85.1,4.71,84.62,5.13,Eukaryota,MS,SRF,0.8-5
TOPAZ_MSS1_E022,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,Dinoflagellata,11414493,3514,779942,31438,0,57.11,3126,1461,0.8903450434782608,0.07394291825895352,0.0015703478260869564,0.001645970008937393,5639,2635,46.73,427,653,11.58,1197,12.16,0.0,16.67,0.0,Eukaryota_Fungi_Microsporidia,MS,SRF,0.8-5
